FZ10B.tex,Input,Output
MCLEAN.tex,Input,Output
M3TILE.tex,SAMPLE INPUT,SAMPLE OUTPUT
MMMGAME.tex,Input,Sample
C11SEQ4.tex,Input,Example
QMAX4.tex,Output,Example
MCITYHAL.tex,Input,Output
LABUDOVI.tex,Dữ liệu vào,Dữ liệu ra
MTRIAREA.tex,Input,Output
MDIGITS1.tex,Input,Output
TRAKA.tex,Input,Output
MDOLLS.tex,Input,Output
MELE2.tex,Input,Output
MBEEWALK.tex,Input,Output
MMAXPER.tex,INPUT,OUTPUT
MCOINS.tex,INPUT,OUTPUT
AVLBIT.tex,\emph{Dữ liệu vào,\emph{Dữ liệu ra
LTPMSEQ.tex,Input,Output
MMINPER.tex,Input,Output
MPRIME1.tex,Input,Output
MCIRGAME.tex,Input,Output
MPART.tex,Input,Output
TRAFFICN.tex,Dữ liệu vào,Dữ liệu ra
MLASERP.tex,INPUT,Ví dụ
LQDRECT.tex,Input,Output
VOSSEVEN.tex,Input,Output
MTREECOL.tex,Input,Output
MPOLEVAL.tex,Input,Output
MDIGITS.tex,Input,Output
BINARY2.tex,Input,Output
LQDHAUNT.tex,Output,Example
MMATRIX.tex,Input,Output
MJOURNEY.tex,Input,Output
MTOTALF.tex,INPUT,VÍ DỤ
SNSEQ.tex,Dữ liệu,Kết qủa
MCONSTR.tex,Input,Output
MCLONUM.tex,INPUT,OUTPUT
STRAVEL.tex,Dữ liệu,Kết quả
BARIC.tex,Dữ liệu,Kết quả
MSTICK.tex,Input,Output
DHFRBUS.tex,Output,Example
MRECAMAN.tex,Input,Output
